Intent/Action Name,User goal,type,if_success,
- action_greet_user,greet,action,success,
- action_default_fallback,fallback,action,,
- action_default_ask_affirmation,fallback,action,,
- utter_react_positive,chitchat,action,,
- utter_react_negative,chitchat,action,,
- action_get_community_events,getstarted_4,action,success,
,,,,
- suggestion_form,suggestion,form,,
- feedback_form,feedback,form,,
,,,,
- event_rewind,fallback,action,,
- action_revert_fallback_events,fallback,action,,
- action_default_ask_rephrase,fallback,action,,
,,,,
- subscribe,suggestion,action,,
- action_set_getstarted_1,getstarted_1,action,,
,,,,
- enter_data: {use_entities: false},pretty much every skill,intent,,
- mood_confirm,pretty much every skill,intent,,
- contact_sales,sales,intent,,
- signup_newsletter,subscribe,intent,,
- greet,chitchat,intent,,
- human_handoff,chitchat,intent,,
- deny,pretty much every skill,intent,,
- ask_builder,chitchat,intent,,
- ask_weather,chitchat,intent,,
- ask_howdoing,chitchat,intent,,
- ask_whatspossible,chitchat,intent,,
- ask_whatisrasa,chitchat,intent,,
- ask_isbot,chitchat,intent,,
- out_of_scope,oos,intent,,
- thank,chitchat,intent,,
- ask_whoisit,chitchat,intent,,
- bye,chitchat,intent,,
- canthelp,chitchat,intent,,
- feedback,chitchat,intent,,
- switch,rasa_help,intent,,
- new_project,,intent,doesn't exist,
- how_to_get_started,getstarted_1/rasa_help,intent,,
- technical_question,faq,intent,,
- nlu_info,rasa_help,intent,,
- pipeline_recommendation,rasa_help,intent,,
- nlu_generation_tool_recommendation,rasa_help,intent,,
- rasa_cost,faq,intent,,
- source_code,faq,intent,,
- suggestion,suggestion,intent,,
